;companyId;companyName;ticker;price;gestao;dy;percentualcaixa;numerocotistas;patrimonio;p_vp;liquidezmediadiaria;dividend_cagr;cota_cagr
93;136;RIO BRAVO IFIX FDO INV IMOB;RBFF11;64.61;Ativa;9.4413;0.2116;20766.0;260724399.45;0.9286;669680.66;1.5786;
94;151;RBR ALPHA MULTIESTRATÉGIA REAL ESTATE FDO INV IMOB;RBRF11;81.1;Ativa;9.5354;10.0013;74327.0;1204492628.06;0.9212;3260705.63;-3.7554;-6.7447
95;605;RBR LOG FUNDO DE INVESTIMENTO IMOBILIÁRIO;RBRL11;105.32;Ativa;7.8304;10.689;5979.0;720207810.79;0.9779;1490397.78;;
96;530;FDO INV IMOB - FII RBR DESENVOLVIMENTO;RBRM11;94794.81;Ativa;84.8214;13.4318;54.0;74559218.45;0.6853;;;
97;93;RBR Properties;RBRP11;80.79;Ativa;7.2534;25.2418;89046.0;1042431997.69;0.9439;2327275.49;-3.1405;
98;638;RIO BRAVO RENDA RESIDENCIAL FDO. INVEST. IMOB.;RBRS11;74.0;Ativa;3.8108;16.987;1176.0;100766448.42;0.7672;38613.48;;
99;510;FDO INV IMOB RBR PRIVATE CRÉDITO IMOB;RBRY11;102.5;Ativa;8.6308;14.3776;9991.0;349727538.67;0.9956;583991.68;;
100;153;BB Renda de Papeis Imobiliários II;RDPD11;68.5;Ativa;7.177;2.0817;780.0;76735767.54;0.9623;153270.1;-0.0253;-10.485
101;157;FII REC Recebíveis Imobiliários;RECR11;105.49;Ativa;13.3862;19.1643;91384.0;1855452501.8;1.1018;9236751.07;5.1788;1.7941
102;513;FDO INV IMOB - FII UBS (BR) OFFICE;RECT11;80.53;Ativa;10.2446;0.795;76666.0;761018357.05;0.8655;1585806.54;;
103;598;FDO. INVEST. IMOB. RB CAPITAL I FUNDO DE FUNDOS;RFOF11;81.85;Ativa;8.4484;1.8502;4102.0;96126586.08;0.918;275507.27;;
